Original,Furigana,English,Russian,JLPT Level
現像,げんぞう,developing (film),развивающийся (фильм),N1
原則,げんそく,"principle, general rule","принцип, общее правило",N1
見地,けんち,point of view,точка зрения,N1
現地,げんち,"actual place, local","реальное место, местное",N1
限定,げんてい,"limit, restriction","предел, ограничение",N1
原点,げんてん,"origin (coordinates, starting point)","начало координат (координаты, отправная точка)",N1
原典,げんてん,"original, source","оригинал, источник",N1
原爆,げんばく,atomic bomb,атомная бомба,N1
原文,げんぶん,"the text, original","текст, оригинал",N1
厳密,げんみつ,"strict, close","строгий, близкий",N1
賢明,けんめい,"wisdom, intelligence, prudence","мудрость, ум, предусмотрительность",N1
倹約,けんやく,"thrift, economy, frugality","бережливость, экономность",N1
原油,げんゆ,crude oil,сырая нефть,N1
兼用,けんよう,"multi-use, combined use","многоразовое, комбинированное использование",N1
権力,けんりょく,"(political) power, authority, influence","(политическая) власть, авторитет, влияние",N1
言論,げんろん,"discussion, speech","обсуждение, речь",N1
故～,こ～,"deceased, late","умерший, поздний",N1
語彙,ごい,"vocabulary, glossary","словарный запас, глоссарий",N1
恋する,こいする,"to fall in love with, to love","влюбиться, полюбить",N1
甲,こう,1st in rank; shell,1-й по рангу; оболочка,N1
～光,～こう,light,свет,N1
好意,こうい,"good will, favor, courtesy","добрая воля, благосклонность, любезность",N1
行為,こうい,"act, deed, conduct","поступок, поведение",N1
合意,ごうい,"agreement, consent, mutual understanding","соглашение, согласие, взаимопонимание",N1
工学,こうがく,engineering,инженерия,N1
抗議,こうぎ,"protest, objection","протест, возражение",N1
合議,ごうぎ,"consultation, conference","консультация, конференция",N1
皇居,こうきょ,Imperial Palace,Императорский дворец,N1
好況,こうきょう,"prosperous conditions, healthy economy","процветающие условия, здоровая экономика",N1
鉱業,こうぎょう,mining industry,горнодобывающая промышленность,N1
興業,こうぎょう,starting a business; industry,открытие бизнеса; промышленность,N1
高原,こうげん,"tableland, plateau","плоскогорье, плато",N1
交互,こうご,"mutual, reciprocal, alternate","взаимный, альтернативный",N1
煌々と,こうこうと,brightly,ярко,N1
考古学,こうこがく,archeology,археология,N1
工作,こうさく,"handicraft, maneuvering","ремесло, маневрирование",N1
耕作,こうさく,"cultivation, farming","выращивание, сельское хозяйство",N1
鉱山,こうざん,mine,мой,N1
講習,こうしゅう,"short course, training","короткий курс, обучение",N1
口述,こうじゅつ,verbal statement,устное заявление,N1
控除,こうじょ,"subsidy, deduction","субсидия, вычет",N1
交渉,こうしょう,negotiation,переговоры,N1
高尚,こうしょう,"high, noble, refined","высокий, благородный, изысканный",N1
向上,こうじょう,"rise, improvement, progress","подъем, улучшение, прогресс",N1
行進,こうしん,"march, parade","марш, парад",N1
香辛料,こうしんりょう,spices,специи,N1
降水,こうすい,"rainfall, precipitation",осадки,N1
洪水,こうずい,flood,наводнение,N1
合成,ごうせい,"synthetic, mixed","синтетический, смешанный",N1
公然,こうぜん,openly,открыто,N1
抗争,こうそう,"dispute, resistance","спор, сопротивление",N1
構想,こうそう,"plan, plot, idea, conception","план, сюжет, идея, замысел",N1
後退,こうたい,"retreat, backspace","отступить, вернуться назад",N1
光沢,こうたく,"luster, glossy finish (of photographs)","блеск, глянцевое покрытие (по фотографиям)",N1
公団,こうだん,public corporation,государственная корпорация,N1
好調,こうちょう,"satisfactory, in good shape","удовлетворительно, в хорошем состоянии",N1
口頭,こうとう,oral,оральный,N1
講読,こうどく,reading,чтение,N1
購読,こうどく,subscription,подписка,N1
購入,こうにゅう,"purchase, buy",купить,N1
公認,こうにん,"official recognition, authorization","официальное признание, авторизация",N1
光熱費,こうねつひ,cost of fuel and light,стоимость топлива и света,N1
購買,こうばい,"purchase, buy",купить,N1
好評,こうひょう,"popularity, favorable reputation","популярность, благоприятная репутация",N1
交付,こうふ,"delivering, furnishing (with copies)","доставка, меблировка (с копиями)",N1
公募,こうぼ,"public appeal, public contribution","общественное обращение, общественный вклад",N1
